id_cartao_amarelo,id_partida,id_time,id_Jogador,tempo,acrescimo
946,94687,154,10020,67,
947,94687,120,10056,77,
948,94687,154,10256,78,
949,94688,135,10099,88,
950,94688,135,10098,90,
951,94688,135,10105,90,
952,94689,119,10406,75,
953,94689,121,9918,76,
954,94689,119,10388,82,
955,94689,121,9933,87,
956,94689,119,10377,90,
957,94690,150,10272,34,
958,94690,128,9991,38,
959,94690,128,9991,77,
960,94690,150,10445,90,
961,94691,134,10135,45,
962,94691,118,9927,52,
963,94691,134,10117,64,
964,94691,118,10044,84,
965,94691,134,1977,90,
966,94692,120,10054,40,
967,94692,120,80190,72,
968,94692,120,10072,87,
969,94692,124,10319,87,
970,94692,120,10050,90,
971,94693,129,77714,49,
972,94694,132,10213,57,
973,94695,135,10089,20,
974,94695,119,10382,33,
975,94695,119,10396,53,
976,94695,119,10372,61,
977,94695,135,10098,64,
978,94695,135,10085,68,
979,94695,135,10097,81,
980,94695,135,10103,90,
981,94696,145,10513,29,
982,94696,145,10534,32,
983,94696,150,41277,47,
984,94696,150,9341,56,
985,94696,150,9298,84,
986,94696,145,10525,90,
987,94697,130,10498,25,
988,94697,130,10494,58,
989,94697,130,2414,72,
990,94697,131,10229,87,
991,94697,131,10252,88,
992,94698,121,2502,10,
993,94698,1062,9899,43,
994,94698,121,9939,55,
995,94698,1062,9862,58,
996,94698,1062,47552,62,
997,94698,121,9934,90,
998,94698,1062,9866,90,
999,94699,126,9976,19,
1000,94699,126,2571,46,
1001,94699,126,256,66,
1002,94699,154,10427,82,
1003,94699,154,10437,83,
1004,94700,133,10571,62,
1005,94700,128,71,64,
1006,94700,128,2454,82,
1007,94700,133,10574,88,
1008,94700,133,10559,90,
1009,94700,133,10553,90,
1010,94701,133,70299,42,
1011,94701,145,10534,67,
1012,94702,126,9958,78,
1013,94702,118,10024,81,
1014,94702,118,10040,90,
1015,94703,120,10069,11,
1016,94703,151,10352,41,
1017,94703,120,10076,83,
1018,94703,120,10052,85,
1019,94703,151,80277,85,
1020,94703,120,10072,90,
1021,94704,131,10230,17,
1022,94704,131,2411,28,
1023,94704,134,10493,34,
1024,94704,134,10143,45,
1025,94705,135,10104,45,
