idGol,idPartida,idTime,idJogadorGol,idJogadorAssistencia,tempo,acrescimo
572,94725,127,10166,10176.0,90,
573,94726,131,10260,10257.0,11,
574,94726,151,10364,10348.0,37,
575,94726,151,10359,10349.0,71,
576,94726,131,10257,,90,7.0
577,94727,118,10039,,90,1.0
578,94728,121,9929,9939.0,90,9.0
579,94729,129,50532,77669.0,18,
580,94729,128,10004,10000.0,56,
581,94729,128,9992,10000.0,84,
582,94730,133,143368,10578.0,8,
583,94730,133,10575,10574.0,18,
584,94730,120,10052,10048.0,22,
585,94731,134,10142,1977.0,7,
586,94731,121,9934,9936.0,41,
587,94732,1062,9899,,2,
588,94732,1062,9866,44494.0,22,
589,94733,118,10040,10035.0,76,
590,94733,129,10265,10292.0,86,
591,94733,129,10265,77669.0,90,4.0
592,94734,120,10448,,16,
593,94734,150,10290,,67,
594,94734,120,10078,10051.0,69,
595,94735,132,10222,10390.0,23,
596,94735,132,41247,,30,
597,94735,151,64046,,49,
598,94735,151,10344,,85,
599,94736,131,2411,,34,
600,94736,135,10104,,38,
601,94736,135,10097,,71,
602,94737,127,10180,10157.0,4,
603,94737,127,30408,10166.0,66,
604,94738,130,10483,10484.0,10,
605,94738,154,10437,10438.0,35,
606,94738,154,10434,10437.0,41,
607,94739,133,10574,,53,
608,94740,126,2571,256.0,51,
609,94741,151,80277,10364.0,45,1.0
610,94741,134,10124,,48,
611,94741,134,10143,10135.0,54,
612,94741,134,1977,,62,
613,94741,134,10150,10143.0,90,4.0
614,94742,121,9934,9918.0,54,
615,94742,145,10525,,79,
616,94742,121,9926,,86,
617,94743,119,10401,10404.0,50,
618,94743,119,10404,,53,
619,94743,118,10040,10031.0,71,
620,94743,119,10401,10387.0,74,
621,94743,118,9912,9927.0,86,
622,94744,133,10578,10240.0,18,
623,94744,129,77665,,81,
624,94746,135,2485,10096.0,80,
625,94746,154,10437,,83,
626,94747,127,2612,10168.0,9,
627,94748,132,10222,10192.0,27,
628,94748,124,10322,10320.0,52,
629,94749,130,10498,10323.0,12,
630,94749,130,10492,,71,
631,94749,130,2414,,80,
632,94750,126,9967,9971.0,51,
633,94750,126,9962,9967.0,57,
634,94751,132,41247,10192.0,6,
635,94751,132,10222,,50,
636,94752,154,9832,,23,
637,94752,145,10582,10529.0,51,
638,94752,154,10438,10416.0,52,
639,94752,154,10437,,89,
640,94753,135,10085,10098.0,26,
641,94753,135,10097,10093.0,90,7.0
642,94754,129,77665,10275.0,14,
643,94754,129,80171,77665.0,90,2.0
644,94755,150,10450,9963.0,25,
645,94755,131,10244,,45,
646,94755,150,10290,10449.0,80,
647,94756,127,10174,,55,
648,94756,127,10156,10180.0,63,
649,94756,151,80277,10364.0,77,
650,94756,151,10364,10344.0,90,4.0
651,94757,119,10395,10401.0,11,
652,94757,134,10143,10117.0,22,
653,94758,121,9921,,12,
654,94758,121,9929,9939.0,42,
655,94758,121,9926,9932.0,57,
656,94759,128,10000,,54,
657,94760,133,12965,,9,
658,94760,130,10500,50081.0,33,
659,94760,130,2414,10499.0,54,
660,94760,130,10323,,68,
661,94761,134,10142,10119.0,82,
662,94762,126,9945,256.0,7,
663,94762,126,9962,9971.0,24,
664,94762,126,9971,41.0,80,
665,94763,118,10044,,66,
